,fopt,kch,species,delta
226,0.28,30,Tc1,504.4018788585613
227,0.29,30,Tc1,513.5701637370881
228,0.3,30,Tc1,522.9233117209556
229,0.31,30,Tc1,532.4618343998277
230,0.32,30,Tc1,542.1857651424939
231,0.33,30,Tc1,552.094596959841
232,0.34,30,Tc1,562.1872146376058
233,0.35,30,Tc1,572.4618208173096
234,0.36,30,Tc1,582.9158557262411
235,0.37,30,Tc1,593.5459102966882
236,0.38,30,Tc1,604.3476324656689
237,0.39,30,Tc1,615.3156265203728
238,0.4,30,Tc1,626.4433454482509
239,0.41,30,Tc1,637.7229763724729
240,0.42,30,Tc1,649.1453193060119
241,0.43,30,Tc1,660.699659645706
242,0.44,30,Tc1,672.3736350564644
243,0.45,30,Tc1,684.1530976694679
244,0.46,30,Tc1,696.021972842413
245,0.47,30,Tc1,707.9621161056626
246,0.48,30,Tc1,719.9531703521636
247,0.49,30,Tc1,731.9724258180252
248,0.5,30,Tc1,743.9946859450622
249,0.51,30,Tc1,755.992142811396
250,0.52,30,Tc1,767.9342664501057
251,0.53,30,Tc1,779.7877130364889
252,0.54,30,Tc1,791.516257586067
253,0.55,30,Tc1,803.080757443103
254,0.56,30,Tc1,814.4391534103754
255,0.57,30,Tc1,825.5465158303052
256,0.58,30,Tc1,836.3551432179512
257,0.59,30,Tc1,846.8147211018041
258,0.6,30,Tc1,856.8725484788039
259,0.61,30,Tc1,866.4738386587479
260,0.62,30,Tc1,875.5621001931096
261,0.63,30,Tc1,884.0796019851715
262,0.64,30,Tc1,891.9679245234184
263,0.65,30,Tc1,899.1685964477475
264,0.66,30,Tc1,905.6238123695485
265,0.67,30,Tc1,911.2772240924406
266,0.68,30,Tc1,916.0747932441601
267,0.69,30,Tc1,919.9656890159625
268,0.7,30,Tc1,922.9032104583658
269,0.71,30,Tc1,924.8457088940305
270,0.72,30,Tc1,925.7574828021908
271,0.73,30,Tc1,925.6096153407717
272,0.74,30,Tc1,924.3807238051878
273,0.75,30,Tc1,922.0575910248036
274,0.76,30,Tc1,918.6356511164141
275,0.77,30,Tc1,914.1193061703681
276,0.78,30,Tc1,908.5220562116766
277,0.79,30,Tc1,901.8664318809207
278,0.8,30,Tc1,894.1837273026969
279,0.81,30,Tc1,885.5135390365141
280,0.82,30,Tc1,875.9031252630256
281,0.83,30,Tc1,865.4066068748072
282,0.84,30,Tc1,854.0840383996275
283,0.85,30,Tc1,842.0003812865608
284,0.86,30,Tc1,829.2244147726472
285,0.87,30,Tc1,815.8276202407926
286,0.88,30,Tc1,801.8830737524233
287,0.89,30,Tc1,787.4643785278288
288,0.9,30,Tc1,772.6446648857284
289,0.91,30,Tc1,757.4956799529439
290,0.92,30,Tc1,742.0869837462981
291,0.93,30,Tc1,726.4852624176222
292,0.94,30,Tc1,710.753763903138
293,0.95,30,Tc1,694.9518562068073
294,0.96,30,Tc1,679.1347042790215
295,0.97,30,Tc1,663.3530580282235
296,0.98,30,Tc1,647.6531414697314
297,0.99,30,Tc1,632.0766313331654
298,1.0,30,Tc1,616.6607125436707
299,0.01,100,Tc1,129.45904490184148
300,0.02,100,Tc1,131.03431905919933
301,0.03,100,Tc1,132.63464124424902
302,0.04,100,Tc1,134.26041653713125
303,0.05,100,Tc1,135.91205245361377
304,0.06,100,Tc1,137.58995857040196
305,0.07,100,Tc1,139.29454611429708
306,0.08,100,Tc1,141.02622751217956
307,0.09,100,Tc1,142.78541589992537
308,0.1,100,Tc1,144.5725245870561
309,0.11,100,Tc1,146.38796647420813
310,0.12,100,Tc1,148.23215342082685
311,0.13,100,Tc1,150.10549555931888
312,0.14,100,Tc1,152.00840055281319
313,0.15,100,Tc1,153.94127279282685
314,0.16,100,Tc1,155.90451253335672
315,0.17,100,Tc1,157.89851495724164
316,0.18,100,Tc1,159.92366917143985
317,0.19,100,Tc1,161.98035712668556
318,0.2,100,Tc1,164.0689524574553
319,0.21,100,Tc1,166.1898192380025
320,0.22,100,Tc1,168.34331064967486
321,0.23,100,Tc1,170.5297675553537
322,0.24,100,Tc1,172.74951697579613
323,0.25,100,Tc1,175.00287046370872
324,0.26,100,Tc1,177.2901223700954
325,0.27,100,Tc1,179.6115479982971
326,0.28,100,Tc1,181.96740164112254
327,0.29,100,Tc1,184.35791449540005
328,0.3,100,Tc1,186.78329245010428
329,0.31,100,Tc1,189.24371374253025
330,0.32,100,Tc1,191.73932647852308
331,0.33,100,Tc1,194.27024601218346
332,0.34,100,Tc1,196.83655218125278
333,0.35,100,Tc1,199.43828639398
334,0.36,100,Tc1,202.0754485648693
335,0.37,100,Tc1,204.74799389639867
336,0.38,100,Tc1,207.4558295041923
337,0.39,100,Tc1,210.1988108850035
338,0.4,100,Tc1,212.97673822666619
339,0.41,100,Tc1,215.78935256061513
340,0.42,100,Tc1,218.63633175864814
341,0.43,100,Tc1,221.5172863772066
342,0.44,100,Tc1,224.4317553530207
343,0.45,100,Tc1,227.37920155732334
344,0.46,100,Tc1,230.35900721513352
345,0.47,100,Tc1,233.3704692013509
346,0.48,100,Tc1,236.41279422415644
347,0.49,100,Tc1,239.48509391225323
348,0.5,100,Tc1,242.58637982154573
349,0.51,100,Tc1,245.7155583834035
350,0.52,100,Tc1,248.87142581637795
351,0.53,100,Tc1,252.0526630293259
352,0.54,100,Tc1,255.25783054574708
353,0.55,100,Tc1,258.4853634834642
354,0.56,100,Tc1,261.7335666280494
355,0.57,100,Tc1,265.0006096414727
356,0.58,100,Tc1,268.28452245281346
357,0.59,100,Tc1,271.58319088107396
358,0.6,100,Tc1,274.8943525452885
359,0.61,100,Tc1,278.2155931202849
360,0.62,100,Tc1,281.5443430014964
361,0.63,100,Tc1,284.8778744458057
362,0.64,100,Tc1,288.213299258359
363,0.65,100,Tc1,291.54756709963266
364,0.66,100,Tc1,294.8774644883312
365,0.67,100,Tc1,298.199614579016
366,0.68,100,Tc1,301.51047779365825
367,0.69,100,Tc1,304.80635338676933
368,0.7,100,Tc1,308.0833820240511
369,0.71,100,Tc1,311.3375494506042
370,0.72,100,Tc1,314.5646913237212
371,0.73,100,Tc1,317.7604992790063
372,0.74,100,Tc1,320.9205282928903
373,0.75,100,Tc1,324.0402053966133
374,0.76,100,Tc1,327.11483978716814
375,0.77,100,Tc1,330.13963436874263
376,0.78,100,Tc1,333.1096987451471
377,0.79,100,Tc1,336.02006366895665
378,0.8,100,Tc1,338.865696935363
379,0.81,100,Tc1,341.6415206910412
380,0.82,100,Tc1,344.34243010842135
381,0.83,100,Tc1,346.96331335437634
382,0.84,100,Tc1,349.4990727606361
383,0.85,100,Tc1,351.944647081518
384,0.86,100,Tc1,354.29503470063503
385,0.87,100,Tc1,356.5453176278194
386,0.88,100,Tc1,358.6906861049098
387,0.89,100,Tc1,360.7264636201986
388,0.9,100,Tc1,362.64813211207604
389,0.91,100,Tc1,364.45135712888225
390,0.92,100,Tc1,366.1320126971983
391,0.93,100,Tc1,367.6862056434853
392,0.94,100,Tc1,369.110299108028
393,0.95,100,Tc1,370.4009349892427
394,0.96,100,Tc1,371.5550550601844
395,0.97,100,Tc1,372.5699205071347
396,0.98,100,Tc1,373.443129653219
397,0.99,100,Tc1,374.17263364727626
398,1.0,100,Tc1,374.7567499206067
399,0.01,300,Tc1,47.68145352904867
400,0.02,300,Tc1,48.17381462710273
401,0.03,300,Tc1,48.67318689643981
402,0.04,300,Tc1,49.179687949003885
403,0.05,300,Tc1,49.69343735854181
404,0.06,300,Tc1,50.214556678793116
405,0.07,300,Tc1,50.74316946031554
406,0.08,300,Tc1,51.27940126642446
407,0.09,300,Tc1,51.82337968788036
408,0.1,300,Tc1,52.37523435582711
409,0.11,300,Tc1,52.93509695347896
410,0.12,300,Tc1,53.5031012261243
411,0.13,300,Tc1,54.07938298899348
412,0.14,300,Tc1,54.664080133556986
413,0.15,300,Tc1,55.25733263116319
414,0.16,300,Tc1,55.85928253481138
415,0.17,300,Tc1,56.47007397790271
416,0.18,300,Tc1,57.08985317064627
417,0.19,300,Tc1,57.718768393215164
418,0.2,300,Tc1,58.35696998576618
419,0.21,300,Tc1,59.00461033500062
420,0.22,300,Tc1,59.66184385724768
421,0.23,300,Tc1,60.328826977001825
422,0.24,300,Tc1,61.00571810188751
423,0.25,300,Tc1,61.69267759248663
424,0.26,300,Tc1,62.38986772743823
425,0.27,300,Tc1,63.09745266348722
426,0.28,300,Tc1,63.81559838966945
427,0.29,300,Tc1,64.5444726755389
428,0.3,300,Tc1,65.28424501311741
429,0.31,300,Tc1,66.03508655205127
430,0.32,300,Tc1,66.79717002728006
431,0.33,300,Tc1,67.57066967938948
432,0.34,300,Tc1,68.35576116629903
433,0.35,300,Tc1,69.15262146653764
434,0.36,300,Tc1,69.9614287732856
435,0.37,300,Tc1,70.78236237839513
436,0.38,300,Tc1,71.6156025461259
437,0.39,300,Tc1,72.46133037581323
438,0.4,300,Tc1,73.31972765298353
439,0.41,300,Tc1,74.19097668805568
440,0.42,300,Tc1,75.07526014185252
441,0.43,300,Tc1,75.972760837817
442,0.44,300,Tc1,76.88366155916803
443,0.45,300,Tc1,77.80814483114675
444,0.46,300,Tc1,78.74639268707135
445,0.47,300,Tc1,79.69858641749889
446,0.48,300,Tc1,80.6649063013537
447,0.49,300,Tc1,81.64553131889527
448,0.5,300,Tc1,82.640638844532
449,0.51,300,Tc1,83.6504043194963
450,0.52,300,Tc1,84.67500090293917
451,0.53,300,Tc1,85.71459910053811
452,0.54,300,Tc1,86.76936636973089
453,0.55,300,Tc1,87.83946670048401
454,0.56,300,Tc1,88.9250601706407
455,0.57,300,Tc1,90.02630247478102
456,0.58,300,Tc1,91.14334442563168
457,0.59,300,Tc1,92.27633142691039
458,0.6,300,Tc1,93.42540291690958
459,0.61,300,Tc1,94.59069178119526
460,0.62,300,Tc1,95.77232373433154
461,0.63,300,Tc1,96.97041666895521
462,0.64,300,Tc1,98.18507997165389
463,0.65,300,Tc1,99.41641380491993
