,fopt,time,protein,kch
371,0.71,200.0,101033.33333333331,1000.0
372,0.73,100.0,50968.66666666666,1000.0
373,0.73,200.0,102082.33333333331,1000.0
374,0.75,100.0,51425.333333333336,1000.0
375,0.75,200.0,103101.66666666669,1000.0
376,0.77,100.0,52004.66666666666,1000.0
377,0.77,200.0,104195.0,1000.0
378,0.79,100.0,52387.66666666666,1000.0
379,0.79,200.0,104960.66666666669,1000.0
380,0.81,100.0,52836.333333333336,1000.0
381,0.81,200.0,105951.33333333331,1000.0
382,0.83,100.0,53230.0,1000.0
383,0.83,200.0,106614.66666666669,1000.0
384,0.85,100.0,53476.0,1000.0
385,0.85,200.0,107197.0,1000.0
386,0.87,100.0,53833.66666666666,1000.0
387,0.87,200.0,107828.33333333331,1000.0
388,0.89,100.0,54142.66666666666,1000.0
389,0.89,200.0,108379.33333333331,1000.0
390,0.91,100.0,54278.66666666666,1000.0
391,0.91,200.0,108724.0,1000.0
392,0.93,100.0,54516.66666666666,1000.0
393,0.93,200.0,109235.0,1000.0
394,0.95,100.0,54674.333333333336,1000.0
395,0.95,200.0,109600.0,1000.0
396,0.97,100.0,54714.66666666666,1000.0
397,0.97,200.0,109666.66666666669,1000.0
398,0.99,100.0,54848.333333333336,1000.0
399,0.99,200.0,109879.66666666669,1000.0
